racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament  ,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card
11,Handre,Pollard,South Africa,Fly,30,1.89,98,2013,Leicester,Premiership,13,8,0,5,13,0,105,961,Champions Cup,4,1,0,3,3,2,37,274,8,7,0,1,0,0,2,385,1,0
12,Tadhg,Beirne,Ireland,Utility Forward,32,1.98,114,2015,Leinster Rugby,United Rugby Championship,12,9,0,3,12,1,5,870,Champions Cup,5,1,1,3,5,0,0,400,14,11,0,3,0,5,25,1022,2,0
13,Damian,Willemse,South Africa,Utility Back,26,1.84,96,2016,Stormers,United Rugby Championship,9,7,0,2,8,1,8,666,Champions Cup,4,3,0,1,4,0,0,320,9,8,0,1,8,2,20,550,1,0
14,Jamison,Gibson-Park,Ireland,Scrumhalf ,32,1.75,80,2013,Leinster Rugby,United Rugby Championship,7,5,0,2,5,1,5,338,Champions Cup,8,7,0,1,8,5,25,593,10,8,0,2,9,3,15,627,0,0
15,Ben,Earl,England,Backrow ,26,1.86,102,2016,Saracens,Premiership,10,6,0,4,8,1,5,696,Champions Cup,3,1,0,2,3,0,0,221,18,11,0,7,17,4,20,1374,0,0
16,Will,Skelton,Australia,Secondrow,32,2.03,145,2013,Stade Rochelais,Top 14,14,8,1,5,12,1,5,936,Champions Cup,6,3,0,3,6,1,5,405,3,1,0,1,1,0,0,169,3,0
17,Finn,Russell,Scotland,Fly,31,1.82,93,2013,Bath Rugby,Premiership,16,11,0,5,15,0,155,1198,Champions Cup,5,3,0,2,5,0,9,330,11,5,0,6,11,0,55,851,0,0
18,Bundee,Aki,Ireland,Center,34,1.78,101,2013,Chiefs,United Rugby Championship,6,3,0,3,6,2,10,480,Champions Cup,3,1,0,2,3,1,5,240,11,8,0,3,11,5,30,869,0,0
19,Jordie,Barrett,New Zealand,Center,27,1.96,102,2016,Hurricanes,Super Rugby Pacific,13,10,0,3,12,5,41,931,None,0,0,0,0,0,0,0,0,11,8,0,3,10,1,13,683,0,1
20,Ox,Nche,South Africa,Prop,29,1.76,123,2015,sharks,United Rugby Championship,10,4,0,6,7,2,10,468,Challenge Cup,8,7,0,1,8,3,15,490,14,12,0,2,6,0,0,551,0,0
